Title,BodyPart,Equipment
holman weighted burpee to pike,abdominals,dumbbell
holman straight-legged boat chest press,abdominals,dumbbell
holman weighted burpee to side delt raise,abdominals,dumbbell
holman heavy double pike,abdominals,dumbbell
holman heavy double split pike,abdominals,dumbbell
metaburn alternating dumbbell sit-through,abdominals,dumbbell
metaburn alternating plank row with dumbbell pull-through,abdominals,dumbbell
metaburn alternating plank row with push-up,abdominals,dumbbell
metaburn dumbbell russian twist,abdominals,dumbbell
metaburn dumbbell toe-touch,abdominals,dumbbell
metaburn plank to alternating row,abdominals,dumbbell
standing dumbbell knee crunch-,abdominals,dumbbell
metaburn plank with dumbbell rotation,abdominals,dumbbell
fyr2 dumbbell crab reach,abdominals,dumbbell
fyr2 dumbbell man-maker,abdominals,dumbbell
fyr2 dumbbell sit-up reach,abdominals,dumbbell
fyr2 loaded beast sprawl,abdominals,dumbbell
fyr2 loaded to unloaded beast,abdominals,dumbbell
lying leg pullover,abdominals,dumbbell
landmine twist,abdominals,other
suspended ab fall-out,abdominals,other
decline reverse crunch,abdominals,other
plate twist,abdominals,other
weighted crunches,abdominals,other
ab roller,abdominals,other
otis-up,abdominals,other
captain's chair knee raise,abdominals,other
sledgehammer swing,abdominals,other
pallof press,abdominals,other
weighted sit-ups - with bands,abdominals,other
suitcase crunch,abdominals,other
fyr rope jumping,abdominals,other
barbell press sit-up,abdominals,other
single-arm bent-over rear delt fly,abdominals,other
captain's chair leg raise,abdominals,other
shoulder-elevated one-leg hip thrusts,abdominals,other
ab twist - gethin variation,abdominals,other
weighted crunch - gethin variation,abdominals,other
ab wheel roll-out - gethin variation,abdominals,other
bench crunch,abdominals,other
decline plate sit-up twist,abdominals,other
reverse ab roll-out,abdominals,other
30 seated twist with pvc pipe,abdominals,other
suspended crunch-,abdominals,other
suspended oblique crunch,abdominals,other
weighted sit-up,abdominals,other
30 decline press sit-up,abdominals,other
holman towel reverse plank alternating heel pull-in,abdominals,other
holman boat with weighted cross punch,abdominals,other
holman weighted hook punch,abdominals,other
holman weighted traveling punch,abdominals,other
holman weighted uppercut punch,abdominals,other
holman slow weighted double pike,abdominals,other
holman plate straight plank reach,abdominals,other
holman plate elbow plank jack to straight plank jack,abdominals,other
holman plate hill climber,abdominals,other
holman plate reverse plank hill climber,abdominals,other
holman plate straight plank pike to jack,abdominals,other
holman plate in-and-out push-up,abdominals,other
holman plate burpee,abdominals,other
holman plate elbow plank reach,abdominals,other
holman elbow plank to renegade row,abdominals,other
holman straight plank weighted hand hill climber,abdominals,other
holman weighted left side diagonal pike,abdominals,other
holman weighted right side diagonal pike,abdominals,other
holman weighted w-boat to overhead press,abdominals,other
holman weighted kneeling lift,abdominals,other
holman hips-up weighted pull-over,abdominals,other
holman weighted cross punch,abdominals,other
holman straight-leg boat hover chest press,abdominals,other
holman weighted pike,abdominals,other
holman feet-elevated wax-on wax-off,abdominals,other
holman elbow plank to towel pike,abdominals,other
holman seated killer abs overhead press,abdominals,other
holman straight plank alternating weighted open,abdominals,other
holman weighted killer abs with overhead press,abdominals,other
holman weighted split-leg pike,abdominals,other
holman towel reverse plank heel pull-in,abdominals,other
stick twist,abdominals,other
roc everest,abdominals,other
standing cable low-to-high twist,abdominals,cable
single-arm high-cable side bend,abdominals,cable
kneeling cable oblique crunch,abdominals,cable
kneeling cable crunch,abdominals,cable
rope crunch,abdominals,cable
standing cable crunch,abdominals,cable
bosu ball cable crunch with side bends,abdominals,cable
standing cable wood chop,abdominals,cable
cable reverse crunch,abdominals,cable
cable russian twists,abdominals,cable
pallof press with rotation,abdominals,cable
cable seated crunch,abdominals,cable
cable judo flip,abdominals,cable
exercise ball cable crunch - gethin variation,abdominals,cable
standing cable high-to-low twist,abdominals,cable
bent-over reverse cable fly,abdominals,cable
standing cable crunch - gethin variation,abdominals,cable
am cable crunch,abdominals,cable
tyler holt weighted knee-to-chest crunch,abdominals,cable
standing cable twist,abdominals,cable
30 cable rope crunch,abdominals,cable
30 cable rope oblique crunch,abdominals,cable
cable lying twist on ball,abdominals,cable
30 cable pallof press,abdominals,cable
30 cable reverse crunch on ball,abdominals,cable
30 cable reverse crunch,abdominals,cable
tyler holt cable torso twist,abdominals,cable
single-arm cable outward-facing biceps curl,abdominals,cable
biceps rope curl,abdominals,cable
kneeling cable crunches,abdominals,cable
ab crunch machine,abdominals,machine
smith machine straight-legged hip raise,abdominals,machine
machine crunch,abdominals,machine
am ab machine,abdominals,machine
smith machine v-up,abdominals,machine
elbow plank,abdominals,body only
bottoms up,abdominals,body only
spider crawl,abdominals,body only
cocoons,abdominals,body only
cross-body crunch,abdominals,body only
elbow-to-knee crunch,abdominals,body only
decline crunch,abdominals,body only
hanging toes-to-bar,abdominals,body only
hanging oblique knee raise,abdominals,body only
gorilla chin/crunch,abdominals,body only
hanging leg raise,abdominals,body only
mountain climber,abdominals,body only
ab bicycle,abdominals,body only
3/4 sit-up,abdominals,body only
reverse crunch,abdominals,body only
crunches,abdominals,body only
dead bug reach,abdominals,body only
crunch - hands overhead,abdominals,body only
v-up,abdominals,body only
stomach vacuum,abdominals,body only
russian twist,abdominals,body only
flat bench lying leg raise,abdominals,body only
knees tucked crunch,abdominals,body only
butt-ups,abdominals,body only
feet-elevated oblique crunch,abdominals,body only
bent-knee reverse crunch,abdominals,body only
alternating heel-touch,abdominals,body only
suspended reverse crunch,abdominals,body only
lying bench reverse crunch,abdominals,body only
sit-up,abdominals,body only
side bridge,abdominals,body only
lying oblique crunch,abdominals,body only
janda sit-up,abdominals,body only
leg pull-in,abdominals,body only
side jackknife,abdominals,body only
scissor kick,abdominals,body only
toe touchers,abdominals,body only
lower back curl,abdominals,body only
exercise ball torso rotation,abdominals,body only
seated overhead stretch,abdominals,body only
overhead stretch,abdominals,body only
seated scissor kick,abdominals,body only
partner resistance standing twist,abdominals,body only
cross crunch,abdominals,body only
full moon,abdominals,body only
hanging knee raise with manual resistance,abdominals,body only
straight-legged hip raise,abdominals,body only
wall mountain climber,abdominals,body only
skin the cat to push-up,abdominals,body only
partner lying leg raise with lateral throw down,abdominals,body only
hanging leg raise with throw down,abdominals,body only
partner sit-up with high-five,abdominals,body only
exercise ball knee roll-in,abdominals,body only
partner lying leg raise with throw down,abdominals,body only
crab toe-touch,abdominals,body only
side kick-through,abdominals,body only
partner target sit-up,abdominals,body only
suspended crunch,abdominals,body only
jump lunge,abdominals,body only
side plank hip dip,abdominals,body only
elbow plank jack,abdominals,body only
exercise ball v-up,abdominals,body only
standing torso twist stretch,abdominals,body only
slalom jumps,abdominals,body only
bear crawl,abdominals,body only
crab single-arm reach,abdominals,body only
side lunge cross-body heel-touch,abdominals,body only
alligator crawl,abdominals,body only
lying cross-over lower back stretch,abdominals,body only
half bird dog,abdominals,body only
shoulder tap,abdominals,body only
double crunch,abdominals,body only
flutter kick,abdominals,body only
sprawl,abdominals,body only
spider plank jack,abdominals,body only
pillar-to-plank,abdominals,body only
alternating high knee raise,abdominals,body only
sumo squat pulse,abdominals,body only
line-drill foot work,abdominals,body only
plank fire hydrants,abdominals,body only
banded jumping jack,abdominals,body only
shin hug,abdominals,body only
fyr bear crawl fire feet,abdominals,body only
bear crawl up-down,abdominals,body only
fyr crab kick,abdominals,body only
bear crawl hold,abdominals,body only
traveling bear crawl,abdominals,body only
single-leg v-up,abdominals,body only
fyr bear crawl shoulder tap,abdominals,body only
alternating single-leg sprawl,abdominals,body only
wide mountain climber,abdominals,body only
plank leg raise,abdominals,body only
glute bridge step-out,abdominals,body only
knee up-down,abdominals,body only
fyr sprawl,abdominals,body only
reach crunch,abdominals,body only
fyr push-up plank hold,abdominals,body only
fyr hollow-body rock,abdominals,body only
v-up plus knee-to-chest combo,abdominals,body only
side plank lateral raise,abdominals,body only
superhero burpee,abdominals,body only
hollow-body abduction,abdominals,body only
fyr hollow hold,abdominals,body only
tip-toe crunch,abdominals,body only
knee-to-nose pulse,abdominals,body only
plank walk-out,abdominals,body only
fyr v-up,abdominals,body only
long sit-up,abdominals,body only
fyr breakdancer,abdominals,body only
seated leg lift,abdominals,body only
gorilla burpee,abdominals,body only
knee-in to v-out,abdominals,body only
bear crawl push-up,abdominals,body only
fyr front step,abdominals,body only
plank reach,abdominals,body only
eiffel tower leg raise,abdominals,body only
straight-arm plank,abdominals,body only
plank up-down,abdominals,body only
frog kick,abdominals,body only
fyr knees to chest,abdominals,body only
front kick-through,abdominals,body only
fyr sit-up,abdominals,body only
fyr leg lift,abdominals,body only
tbs toes-to-bar,abdominals,body only
fyr mountain climber,abdominals,body only
roman chair side ups,abdominals,body only
push-up roll out - gethin variation,abdominals,body only
cross-body crunch - gethin variation,abdominals,body only
decline leg lift with twist,abdominals,body only
hanging leg raise - variation gethin,abdominals,body only
butterfly crunch,abdominals,body only
cross-body mountain climber,abdominals,body only
flat bench lying leg raise - gethin variation,abdominals,body only
lying leg lift,abdominals,body only
hanging alternating single-leg raise,abdominals,body only
plank walk,abdominals,body only
sit-up - gethin variation,abdominals,body only
plank push-up,abdominals,body only
decline crunch-,abdominals,body only
alternating lying leg raise,abdominals,body only
decline leg lift,abdominals,body only
crunch - gethin variation,abdominals,body only
plank - gethin variation,abdominals,body only
barbell floor wiper,abdominals,body only
prison push-up,abdominals,body only
mcgill modified curl-up,abdominals,body only
cross-body toe-touch,abdominals,body only
toy soldier,abdominals,body only
natural glute ham raise with stability ball,abdominals,body only
lateral ape,abdominals,body only
hollow-body knee tuck,abdominals,body only
hm air jumping rope,abdominals,body only
hm alternating lunge reach,abdominals,body only
hm alternating side plank reach,abdominals,body only
hm superman plank,abdominals,body only
hm table pose,abdominals,body only
hm toe touch,abdominals,body only
hm right side bird-dog,abdominals,body only
hm right side crunch,abdominals,body only
hm bicycle,abdominals,body only
hm bird-dog plank,abdominals,body only
hm boat pose,abdominals,body only
hm bottoms up,abdominals,body only
hm bridge,abdominals,body only
hm running man crunch,abdominals,body only
hm seated twist,abdominals,body only
hm side-bend pose,abdominals,body only
hm side-plank arm wrap,abdominals,body only
hm side-plank with hip touch,abdominals,body only
hm side-plank with kick,abdominals,body only
hm side v-up,abdominals,body only
hm crab crunch,abdominals,body only
hm cross-over crunch,abdominals,body only
hm crunch pulse,abdominals,body only
hm dead bug,abdominals,body only
hm single-leg inchworm,abdominals,body only
hm floor jack,abdominals,body only
hm floor wiper,abdominals,body only
hm floor kick,abdominals,body only
hm sit-up,abdominals,body only
hm slow mountain climber,abdominals,body only
hm slow sit-up,abdominals,body only
hm half-up,abdominals,body only
hm hollow-body pulse,abdominals,body only
hm hollow hold,abdominals,body only
hm inchworm,abdominals,body only
hm right side hollow hold with pulse,abdominals,body only
hm reverse crunch with frisbee,abdominals,body only
hm left side bird-dog,abdominals,body only
hm left side crunch,abdominals,body only
hm left side hollow hold with pulse,abdominals,body only
hm reverse crunch,abdominals,body only
hm low lunge with external twist and arm reach,abdominals,body only
hm mountain climber,abdominals,body only
hm prison sit-up,abdominals,body only
hm plank alternating hip-dip,abdominals,body only
hm tuck-up get-up,abdominals,body only
hm flutter kick,abdominals,body only
hm plank,abdominals,body only
mcgill pull-up,abdominals,body only
am leg lift,abdominals,body only
am decline abs,abdominals,body only
hanging crunch,abdominals,body only
tyler holt hanging toes-to-bar,abdominals,body only
side plank,abdominals,body only
bird dog-,abdominals,body only
single-leg curl up,abdominals,body only
single-kettlebell windmill,abdominals,body only
uns foam roll thigh,abdominals,body only
uns inverted row,abdominals,body only
uns t-spine rotation with reach,abdominals,body only
uns quadruped thoracic rotation,abdominals,body only
uns pec stretch,abdominals,body only
uns lat stretch,abdominals,body only
uns foam roll,abdominals,body only
uns foam roll lats,abdominals,body only
uns rocking adductor stretch,abdominals,body only
uns bird dog,abdominals,body only
uns jumping jack,abdominals,body only
ab wheel roll-out,abdominals,body only
bench mountain climber,abdominals,body only
feet-elevated bench side plank,abdominals,body only
cross-body sit-up,abdominals,body only
decline kayak,abdominals,body only
30 decline reverse crunch,abdominals,body only
decline sit-up twist,abdominals,body only
30 flat bench leg raise,abdominals,body only
30 flutter kick,abdominals,body only
chin-up crunch,abdominals,body only
30 gorilla chin oblique crunch,abdominals,body only
half turkish get-up,abdominals,body only
30 hanging oblique crunch,abdominals,body only
30 hollow-body hold,abdominals,body only
parallel bars knee raise,abdominals,body only
30 landmine twist,abdominals,body only
parallel bars leg raise,abdominals,body only
otis-up-,abdominals,body only
30 shoulder tap,abdominals,body only
30 spider crawl,abdominals,body only
spider crunch,abdominals,body only
toe-touch,abdominals,body only
30 hanging toes-to-bar,abdominals,body only
30 v-up,abdominals,body only
cocoon crunch,abdominals,body only
bench oblique crunch,abdominals,body only
full moon-,abdominals,body only
push-up to side plank,abdominals,body only
tyler holt v-up,abdominals,body only
tyler holt plank,abdominals,body only
tyler holt hip-dip,abdominals,body only
suicides,abdominals,body only
holman towel straight plank jack,abdominals,body only
holman towel hill climber,abdominals,body only
holman towel elbow plank jack,abdominals,body only
holman towel elbow plank pike,abdominals,body only
holman towel straight plank hand reach,abdominals,body only
holman towel wax-on wax-off,abdominals,body only
holman towel wide hill climber,abdominals,body only
holman towel dirty dog,abdominals,body only
holman straight plank shoulder tap,abdominals,body only
holman killer abs,abdominals,body only
holman straight plank split jack,abdominals,body only
holman elbow plank swim,abdominals,body only
holman elbow plank saw,abdominals,body only
holman feet-elevated straight plank toe-tap series,abdominals,body only
holman elbow plank pike pull,abdominals,body only
holman hand-elevated walk-over push-up,abdominals,body only
holman hands-elevated hill climber,abdominals,body only
holman seated pike,abdominals,body only
holman feet-elevated up-down plank,abdominals,body only
holman feet-elevated hand tap,abdominals,body only
holman reverse straight plank with alternating heel pull-in,abdominals,body only
holman elbow plank,abdominals,body only
holman straight plank squat thrust,abdominals,body only
holman alternating single-leg pike,abdominals,body only
holman knee pull-in crunch,abdominals,body only
holman straight plank with hand tap,abdominals,body only
holman straight plank with dirty dog,abdominals,body only
holman elbow plank roll,abdominals,body only
holman froggy push-up,abdominals,body only
holman straight plank hand tap to shoulder tap,abdominals,body only
holman in-out straight plank,abdominals,body only
holman bicycle,abdominals,body only
holman alternating diagonal knee pull-in,abdominals,body only
holman elbow plank with step-out,abdominals,body only
holman alternating slow l-raise,abdominals,body only
holman feet-elevated plank with shoulder tap,abdominals,body only
holman feet-elevated inchworm pike to straight plank push-up,abdominals,body only
holman feet-elevated up-down elbow plank,abdominals,body only
holman feet-elevated plank pike pull,abdominals,body only
holman feet-elevated alternating single-leg hip raise,abdominals,body only
holman feet-elevated plank pike pull to push-up,abdominals,body only
holman standing heel click,abdominals,body only
holman straight plank right-left jack to split jack,abdominals,body only
holman elbow plank jack to ninja knees,abdominals,body only
holman right side elbow plank with left leg swing,abdominals,body only
holman left side elbow plank with right leg swing,abdominals,body only
holman straight plank with alternating diagonal sit-back,abdominals,body only
holman boat press with leg extension,abdominals,body only
holman shoulder tap to dirty dog,abdominals,body only
holman standing russian twist,abdominals,body only
holman hovering plank with shoulder tap,abdominals,body only
holman elbow plank to stacked plank hip drop,abdominals,body only
holman elbow plank to walk-up pike,abdominals,body only
holman hill climber,abdominals,body only
holman straight plank pike to renegade row,abdominals,body only
holman alternating hip drop to push-up,abdominals,body only
holman crab kick,abdominals,body only
holman wounded bear crawl,abdominals,body only
holman alternating crab reach,abdominals,body only
holman hovering panther core stabilizer,abdominals,body only
holman burpee to forward lunge,abdominals,body only
holman seated knee pull-in series,abdominals,body only
holman elbow plank pike,abdominals,body only
holman elbow plank jack to straight plank split jack,abdominals,body only
holman boat pull-over,abdominals,body only
holman squat pulse to plyometric jump,abdominals,body only
holman hands down heel click,abdominals,body only
holman straight plank to kick-up,abdominals,body only
holman hands-elevated split jack,abdominals,body only
holman feet-elevated plank reach,abdominals,body only
holman hand-elevated side plank semicircle,abdominals,body only
holman hands-elevated straight plank pike,abdominals,body only
holman alternating rolling elbow plank,abdominals,body only
holman elbow plank jack,abdominals,body only
holman squat thrust to alternating knee-in,abdominals,body only
holman supine double pike,abdominals,body only
holman elbow plank alternating pike,abdominals,body only
holman seated killer abs,abdominals,body only
holman side plank hip drop,abdominals,body only
holman wide hill climber,abdominals,body only
holman straight-legged bicycle,abdominals,body only
holman stair toe tap,abdominals,body only
holman elbow plank ninja,abdominals,body only
holman traveling stair climb push-up,abdominals,body only
holman hands-elevated burpee,abdominals,body only
holman straight plank donkey kick,abdominals,body only
holman feet-elevated straight plank pike pull,abdominals,body only
holman towel burpee,abdominals,body only
holman elbow plank to alternating side plank crunch,abdominals,body only
holman straight-legged hip raise,abdominals,body only
holman feet-elevated hill climber,abdominals,body only
holman ninja knee hill climber,abdominals,body only
holman feet-elevated shoulder tap,abdominals,body only
holman feet-elevated hip raise,abdominals,body only
holman left hand right foot crab reach,abdominals,body only
holman alternating crab flip to froggy push-up to kicks,abdominals,body only
holman right hand left foot sleeping crab,abdominals,body only
holman left hand right foot sleeping crab,abdominals,body only
holman straight plank with alternating leg kick-under,abdominals,body only
holman right hip drop push-up,abdominals,body only
holman right side diagonal burpee,abdominals,body only
holman left hip drop push-up,abdominals,body only
holman right leg 7-up crunch,abdominals,body only
holman left leg 7-up crunch,abdominals,body only
holman straight plank jack,abdominals,body only
holman feet-elevated couch hill climber,abdominals,body only
holman feet-elevated right side plank,abdominals,body only
holman alternating up-down plank to push-up,abdominals,body only
holman straight plank pike,abdominals,body only
holman ninja knee straight plank,abdominals,body only
holman reverse crunch to hip raise,abdominals,body only
holman straight plank quick reach,abdominals,body only
holman alternating diagonal straight plank,abdominals,body only
holman feet-elevated left side plank,abdominals,body only
holman right hand left foot crab reach,abdominals,body only
holman low-impact crab kick,abdominals,body only
holman alternating crab flip to froggy push-up,abdominals,body only
holman high-impact crab kick,abdominals,body only
holman single-leg right pike,abdominals,body only
holman single-leg left pike,abdominals,body only
holman shoulder tap to hand tap,abdominals,body only
holman towel reverse plank jack,abdominals,body only
holman side-to-side twist,abdominals,body only
holman crab kick with hop,abdominals,body only
holman crab reach to crab kick,abdominals,body only
holman wide squat side-to-side obliques,abdominals,body only
holman side plank crunch,abdominals,body only
total fitness ab tuck,abdominals,body only
active hang from bar,abdominals,body only
cat-cow,abdominals,body only
crab walk,abdominals,body only
lunge with overhead reach,abdominals,body only
hang from bar,abdominals,body only
total fitness hollow hold,abdominals,body only
total fitness side plank,abdominals,body only
side plank pulse,abdominals,body only
total fitness spider crawl (unweighted),abdominals,body only
total fitness v-up,abdominals,body only
metaburn alternating knee-to-elbow mountain climber,abdominals,body only
alternating sit-through with crunch-,abdominals,body only
metaburn alternating toe-touch,abdominals,body only
metaburn janda sit-up,abdominals,body only
metaburn oblique roll crunch,abdominals,body only
metaburn plank jack,abdominals,body only
metaburn plank to alternating side plank,abdominals,body only
metaburn plank up-down,abdominals,body only
metaburn plank wiper,abdominals,body only
metaburn plank with alternating toe-touch,abdominals,body only
metaburn plyo push-up,abdominals,body only
metaburn psycho crunch,abdominals,body only
metaburn scapular retraction plank,abdominals,body only
metaburn scapular retraction plank hold,abdominals,body only
metaburn scorpion,abdominals,body only
metaburn side crawler,abdominals,body only
metaburn side plank oblique crunch,abdominals,body only
metaburn sit-through,abdominals,body only
metaburn sit-up to v-up,abdominals,body only
metaburn sit-up with rotation,abdominals,body only
metaburn split-leg crunch,abdominals,body only
metaburn tabletop hip thrust,abdominals,body only
metaburn tabletop with russian kick,abdominals,body only
metaburn toe driver abs,abdominals,body only
metaburn-v-up,abdominals,body only
x-body v-up,abdominals,body only
metaburn swivel crunch,abdominals,body only
robertson core-engaged dead bug,abdominals,body only
fyr2 double-under,abdominals,body only
fyr2 fire feet with burpee tuck jump drill,abdominals,body only
fyr2 flutter kick,abdominals,body only
fyr2 half-moon,abdominals,body only
fyr2 leopard crawl,abdominals,body only
fyr2 plank alternating front step,abdominals,body only
fyr2 shoulder tap,abdominals,body only
hand shift plank,abdominals,body only
cross-body plank march,abdominals,body only
bent-knee copenhagen hip adduction,abdominals,body only
copenhagen plank,abdominals,body only
acft hanging leg tuck,abdominals,body only
alternating hanging knee raise,abdominals,body only
plank to sphinx,abdominals,body only
twisting mountain climbers,abdominals,body only
jack knives,abdominals,body only
hanging leg raises,abdominals,body only
dumbbell suitcase crunch,abdominals,medicine ball
medicine ball rotational throw,abdominals,medicine ball
hollow-hold ball toss,abdominals,medicine ball
partner front russian twist and pass,abdominals,medicine ball
sit-up with single-arm overhand throw,abdominals,medicine ball
medicine ball partner twist,abdominals,medicine ball
partner side russian twist and pass,abdominals,medicine ball
medicine ball half moon,abdominals,medicine ball
exercise ball roll-out,abdominals,medicine ball
medicine ball pass,abdominals,medicine ball
partner medicine ball sit-up,abdominals,medicine ball
medicine ball russian twist,abdominals,medicine ball
30 medicine ball slam,abdominals,medicine ball
medicine ball twist,abdominals,medicine ball
fyr2 medicine ball complex,abdominals,medicine ball
fyr2 medicine ball fire-feet drill,abdominals,medicine ball
fyr2 medicine ball knees-to-chest,abdominals,medicine ball
fyr2 medicine ball mountain climber,abdominals,medicine ball
exercise ball pull-in,abdominals,exercise ball
exercise ball crunch,abdominals,exercise ball
feet-elevated crunch,abdominals,exercise ball
weighted ball side bend,abdominals,exercise ball
swiss ball ab roll-out,abdominals,exercise ball
exercise ball squat and twist,abdominals,exercise ball
swiss ball v-up with foot pass,abdominals,exercise ball
exercise ball pike,abdominals,exercise ball
exercise ball bird dog,abdominals,exercise ball
exercise ball superman,abdominals,exercise ball
bosu cross-body crunch,abdominals,exercise ball
exercise ball knee tuck - gethin varation,abdominals,exercise ball
alternating exercise ball knee tucks - gethin variation,abdominals,exercise ball
am ball crunch,abdominals,exercise ball
30 bosu cable reverse crunch,abdominals,exercise ball
bosu knee tuck,abdominals,exercise ball
30 side plank on ball,abdominals,exercise ball
hanging exercise ball leg raise,abdominals,exercise ball
taylor exercise ball stir-the-pot,abdominals,exercise ball
fyr2 air ball,abdominals,exercise ball
feet-elevated plank on ball,abdominals,exercise ball
band hip adductions,adductors,bands
lateral band walk,abductors,bands
fyr2 standing banded leg abduction,abductors,bands
iliotibial band smr,abductors,foam roll
adductor smr,adductors,foam roll
lying bent leg groin,adductors,other
lateral box jump,adductors,other
thigh adductor,adductors,machine
thigh abductor,abductors,machine
standing hip circles,abductors,body only
groiners,adductors,body only
fire hydrant,abductors,body only
windmills,abductors,body only
side leg raises,adductors,body only
lateral hop,adductors,body only
monster walk,abductors,body only
side lying groin stretch,adductors,body only
it band and glute stretch,abductors,body only
single-leg lying cross-over stretch,abductors,body only
carioca quick step,adductors,body only
standing hip circle,abductors,body only
lateral cone hop,adductors,body only
side-to-side adductor stretch,adductors,body only
dynamic pigeon stretch,abductors,body only
cross-over jack,abductors,body only
traveling thigh killa,abductors,body only
fyr thigh killa,abductors,body only
hm straddle stretch,abductors,body only
hm right leg swing,abductors,body only
hm right side-kick,abductors,body only
hm frog stretch,abductors,body only
hm kick-out,abductors,body only
hm left leg swing,adductors,body only
uns foam roll adductor,adductors,body only
metaburn groiner,abductors,body only
side-lying leg adduction scissor,adductors,body only
incline dumbbell biceps curl,biceps,bands
banded biceps curl in squat position,biceps,bands
banded hammer press - gethin variation,biceps,bands
band standing concentration curl,biceps,bands
brachialis smr,biceps,foam roll
wide-grip barbell curl,biceps,barbell
ez-bar spider curl,biceps,barbell
barbell curl,biceps,barbell
close-grip ez-bar curl,biceps,barbell
preacher curl,biceps,barbell
barbell curls lying against an incline,biceps,barbell
seated close-grip concentration barbell curl,biceps,barbell
close-grip barbell curl,biceps,barbell
drag curl,biceps,barbell
reverse-grip barbell curl,biceps,barbell
lying high bench barbell curl,biceps,barbell
seated wide-grip curl to close-grip curl,biceps,barbell
seated straigh-bar curl superset,biceps,barbell
dave draper forehead curl,biceps,barbell
reverse-grip ez-bar curl,biceps,barbell
ez-bar spider curl - gethin variation,biceps,barbell
barbell curl-,biceps,barbell
paul carter barbell curl,biceps,barbell
standing band biceps curl,biceps,barbell
close-grip ez-bar curl - gethin variation,biceps,barbell
seated barbell curl,biceps,barbell
am standing barbell curl,biceps,barbell
ez-bar preacher curl,biceps,barbell
30 arms standing barbell curl,biceps,barbell
30 arms incline biceps curl,biceps,barbell
"bicep curls ""21s""",biceps,barbell
incline hammer curls,biceps,dumbbell
hammer curls,biceps,dumbbell
biceps curl to shoulder press,biceps,dumbbell
concentration curl,biceps,dumbbell
flexor incline dumbbell curls,biceps,dumbbell
dumbbell bicep curl,biceps,dumbbell
cross-body hammer curl,biceps,dumbbell
dumbbell alternate bicep curl,biceps,dumbbell
single-arm dumbbell preacher curl,biceps,dumbbell
alternate incline dumbbell curl,biceps,dumbbell
standing concentration curl,biceps,dumbbell
alternating incline dumbbell biceps curl,biceps,dumbbell
